effective_date,added_ticker,added_name,removed_ticker,removed_name,reason,deletion_discretionary
2020-09-21,TER,Teradyne,COTY,Coty,Market capitalization changes.,True
2020-09-21,ETSY,Etsy,HRB,H&R Block,Market capitalization changes.,True
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.,False
2020-10-09,VNT,Vontier,,,Fortive completed the corporate spin-off of Vontier.,False
2020-10-12,,,NBL,Noble Energy,Chevron acquired Noble Energy.,False
2020-12-21,TSLA,Tesla,AIV,Aimco,Aimco completed the corporate spin-off of Apartment Income REIT.,False
2021-01-07,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.,False
2021-01-21,TRMB,Trimble,CXO,Concho Resources,ConocoPhillips acquired Concho Resources.,False
2021-02-12,MPWR,Monolithic Power Systems,FTI,TechnipFMC,Corporate spin-off of Technip Energies.,False
2021-03-22,GNRC,Generac Holdings,XRX,Xerox,Market capitalization changes.,True
2021-03-22,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization changes.,True
2021-03-22,NXPI,NXP,FLS,Flowserve,Market capitalization changes.,True
2021-03-22,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization changes.,True
2021-04-20,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.,False
2021-05-14,CRL,Charles River Laboratories,FLIR,FLIR Systems,Teledyne Technologies acquired FLIR Systems.,False
2021-06-03,OGN,Organon & Co.,,,Merck completed the corporate spin-off of Organon.,False
2021-06-04,,,HFC,HollyFrontier,Market capitalization changes.,True
2021-07-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.,False
2021-08-30,TECH,Bio-Techne,MXIM,Maxim Integrated,Analog Devices acquired Maxim Integrated Products.,False
2021-09-20,MTCH,Match Group,PRGO,Perrigo,Market capitalization changes.,True
2021-09-20,BRO,Brown & Brown,NOV,Nov,Market capitalization changes.,True
2021-09-20,CDAY,Ceridian,UNM,Unum,Market capitalization changes.,True
2021-12-14,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.,False
2021-12-20,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization changes.,True
2021-12-20,FDS,FactSet,WU,Western Union,Market capitalization changes.,True
2021-12-20,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization changes.,True
2022-01-10,WTW,Willis Towers Watson,WLTW,Willis Towers Watson,Willis Towers Watson changed its ticker symbol from WLTW to WTW.,True
2022-02-02,CEG,Constellation Energy,,,Exelon completed the corporate spin-off of Constellation Energy.,False
2022-02-03,,,GPS,Gap,Market capitalization changes.,True
2022-02-15,NDSN,Nordson Corporation,XLNX,Xilinx,Advanced Micro Devices acquired Xilinx.,False
2022-03-02,MOH,Molina Healthcare,INFO,IHS Markit,S&P Global acquired IHS Markit.,False
2022-04-04,CPT,Camden Property Trust,PBCT,People's United Financial,M&T Bank acquired People's United Financial.,False
2022-04-11,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merged to create Warner Bros. Discovery.,False
2022-04-11,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merged to create Warner Bros. Discovery.,False
2022-06-08,VICI,Vici Properties,CERN,Cerner,Oracle acquired Cerner.,False
2022-06-21,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A),Market capitalization changes.,True
2022-06-21,,,UA,Under Armour (Class C),Market capitalization changes.,True
2022-06-21,ON,ON Semiconductor,IPGP,IPG Photonics,Market capitalization changes.,True
2022-09-19,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization changes.,True
2022-09-19,CSGP,CoStar Group,PVH,PVH,Market capitalization changes.,True
2022-10-03,EQT,EQT Corporation,DRE,Duke Realty,Prologis acquired Duke Realty.,False
2022-10-03,PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.,False
2022-10-12,TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliott Investment Management acquired Nielsen Holdings.,False
2022-11-01,ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.,False
2022-12-15,MBC,MasterBrand,,,Fortune Brands Home & Security completed the corporate spin-off of MasterBrand.,False
2022-12-19,FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization changes.,True
2022-12-19,,,MBC,MasterBrand,Market capitalization changes.,True
2022-12-22,STLD,Steel Dynamics,ABMD,Abiomed,Johnson & Johnson acquired Abiomed.,False
2023-01-04,GEHC,GE HealthCare,,,General Electric completed the corporate spin-off of GE HealthCare.,False
2023-01-05,,,VNO,Vornado Realty Trust,Market capitalization changes.,True
2023-03-15,PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.",True
2023-03-15,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.,True
2023-03-20,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization changes.,True
2023-05-04,AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into receivership.,True
2023-06-20,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization changes.,True
2023-08-25,KVUE,Kenvue,AAP,Advance Auto Parts,Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.,False
2023-09-18,ABNB,Airbnb,NWL,Newell Brands,Market capitalization changes.,True
2023-09-18,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization changes.,True
2023-10-02,VLTO,Veralto,,,Danaher Corporation completed the corporate spin-off of Veralto.,False
2023-10-03,,,DXC,DXC Technology,Market capitalization changes.,True
2023-10-18,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization changes.,True
2023-10-18,LULU,Lululemon Athletica,ATVI,Activision Blizzard,Acquisition of Activision Blizzard by Microsoft.,False
2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization changes.,True
2023-12-18,JBL,Jabil,ALK,Alaska Air Group,Market capitalization changes.,True
2023-12-18,UBER,Uber,SEE,Sealed Air,Market capitalization changes.,True
2024-02-01,DAY,Dayforce,CDAY,Ceridian,Ceridian changed its ticker symbol from CDAY to DAY.,True
2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization changes.,True
2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization changes.,True
2024-03-25,CPAY,Corpay |,FLT,FLEETCOR Technologies,FLEETCOR Technologies changed its name to Corpay.,True
2024-04-01,SOLV,Solventum,,,3M completed the corporate spin-off of Solventum.,False
2024-04-02,GEV,GE Vernova,,,General Electric completed the corporate spin-off of GE Vernova.,False
2024-04-03,,,VFC,VF Corporation,Market capitalization changes.,True
2024-04-03,,,XRAY,Dentsply Sirona,Market capitalization changes.,True
2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources,ExxonMobil acquired Pioneer Natural Resources.,False
2024-06-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization changes.,True
2024-06-24,KKR,KKR,RHI,Robert Half,Market capitalization changes.,True
2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization changes.,True
2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization changes.,True
2024-09-23,DELL,Dell Technologies,ETSY,Etsy,Market capitalization changes.,True
2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization changes.,True
2024-09-30,AMTM,Amentum,,,"Jacobs Solutions completed the corporate spin-off of its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.",False
2024-10-01,,,BBWI,"Bath & Body Works, Inc.",Market capitalization changes.,True
2024-11-26,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,ConocoPhillips acquired Marathon Oil.,False
2024-12-23,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization changes.,True
2024-12-23,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.,False
2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization changes.,True
2025-03-24,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization changes.,True
2025-03-24,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization changes.,True
2025-03-24,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization changes.,True
2025-03-24,DASH,DoorDash,BWA,BorgWarner,Market capitalization changes.,True
2025-05-19,COIN,Coinbase,DFS,Discover Financial,Capital One acquired Discover Financial.,False
2025-07-09,DDOG,Datadog,JNPR,Juniper Networks,Hewlett Packard Enterprise acquired Juniper Networks.,False
2025-07-18,TTD,Trade Desk (The),ANSS,Ansys,Synopsys acquired Ansys.,False
2025-07-23,XYZ,"Block, Inc.",HES,Hess Corporation,Chevron acquired Hess.,False
2025-08-28,IBKR,Interactive Brokers,WBA,Walgreens Boots Alliance,Sycamore Partners acquired Walgreen Boots Alliance.,False
2025-09-22,EME,Emcor,ENPH,Enphase Energy,Market capitalization changes.,True
2025-09-22,APP,AppLovin,MKTX,MarketAxess,Market capitalization changes.,True
2025-09-22,HOOD,Robinhood Markets,CZR,Caesars Entertainment,Market capitalization changes.,True
2025-10-30,SOLS,Solstice Advanced Materials,,,Honeywell International completed the corporate spin-off of Solstice Advanced Materials.,False
2025-10-31,,,KMX,CarMax,Market capitalization changes.,True
2025-11-03,Q,Qnity Electronics,,,Dupont completed the corporate spin-off of Qnity Electronics.,False
2025-11-04,,,EMN,Eastman Chemical Co.,Market capitalization changes.,True
2025-11-28,SNDK,Sandisk,IPG,Interpublic Group,Omnicom Group acquired (The) Interpublic Group.,False
2025-12-11,ARES,Ares Management,K,Kellanova,Mars Inc. acquired Kellanova.,False
2025-12-22,FIX,Comfort Systems USA,MHK,Mohawk Industries,Market capitalization changes.,True
2025-12-22,CVNA,Carvana,SOLS,Solstice Advanced Materials,Market capitalization changes.,True
2025-12-22,CRH,CRH,LKQ,LKQ Corporation,Market capitalization changes.,True
2026-02-09,CIEN,Ciena,DAY,Dayforce,Thoma Bravo L.P. acquired Dayforce.,False
2026-03-23,VRT,Vertiv,MTCH,Match Group,Market capitalization changes.,True
2026-03-23,COHR,Coherent Corp.,LW,Lamb Weston,Market capitalization changes.,True
2026-03-23,SATS,EchoStar,PAYC,Paycom,Market capitalization changes.,True
2026-03-23,LITE,Lumentum,MOH,Molina Healthcare,Market capitalization changes.,True
2026-04-09,CASY,Casey's,HOLX,Hologic,Blackstone Inc. and TPG Inc. acquired Hologic.,False
2026-05-07,VEEV,Veeva Systems,CTRA,Coterra Energy,Devon Energy acquired Coterra Energy.,False
2026-06-01,FDXF,FedEx Freight,,,FedEx Corp. completed the corporate spin-off of FedEx Freight Holding.,False
2026-06-02,,,EPAM,EPAM Systems,Market capitalization changes.,True
2026-06-22,FLEX,Flex Ltd.,CPB,Campbell's,Market capitalization changes.,True
2026-06-22,MRVL,Marvell Technology,POOL,Pool Corporation,Market capitalization changes.,True
2026-06-29,HONA,Honeywell Aerospace,,,Honeywell completed the corporate spin-off of Honeywell Aerospace.,False
2026-06-30,,,CAG,Conagra Brands,Market capitalization changes.,True
2026-08-05,FERG,Ferguson Enterprises,EA,Electronic Arts,"An investor consortium comprising Saudi Arabia's Public Investment Fund (PIF), Silver Lake, and Affinity Partners acquired Electronic Arts.",False
2026-08-18,RDDT,Reddit,AVB,AvalonBay Communities,Equity Residential (now Vivmark Residential) acquired AvalonBay Communities.,False
